,Title,Location,Security,Garage,Concierge,Price,City,Currency,Nmbr of rooms,Nmbr of pieces,Nmbr of bathrooms,Newness,Surface
232,Appartement 95m2,Hay Hassani,1,0,0,550000,Tanger,DH,4,1,1,Bon état,95
233,Appartement Vide à La Vente Centre Ville Tanger,Centre,0,0,1,1190000,Tanger,DH,3,4,1,Bon état,95
234,Appartement Vide à Vendre Satfillage Tanger,Moujahidine,0,0,0,650000,Tanger,DH,2,2,1,Bon état,78
235,Appartement de 191m² en vente complexe Assalam,Castilla,0,0,0,1719000,Tanger,DH,2,4,2,Nouveau,191
236,Appartement de 213m² en vente complexe Assalam,Castilla,0,0,0,1917000,Tanger,DH,3,4,2,Nouveau,213
237,"Vente Appartement 134 m² CAP TiNGIS, Tanger VA324",Malabata,0,0,0,3000000,Tanger,DH,2,3,2,Nouveau,134
238,"Vente Appartement 200 m² PLA MOZART, Tanger Ref: VA288",Centre,0,0,0,2600000,Tanger,DH,3,4,2,Nouveau,200
239,Appartement a vendre a tanger,Tanja Balia,0,0,0,390000,Tanger,DH,2,3,1,Nouveau,50
240,Appartement vue sur mer en vente à malabata,Malabata,0,0,0,2250000,Tanger,DH,2,4,2,Bon état,146
241,Vente d'un bel appartement à Bella Vista. Surface totale 199 m². Fenêtres avec double vitrage et porte blindée,De La,0,0,0,4000000,Tanger,DH,4,6,3,Nouveau,199
242,Bel appartement à vendre dans un complexe avec piscine à achakar tanger,Achakar,0,0,0,820000,Tanger,DH,2,3,1,Nouveau,70
243,Appartement à mozart pour vente,Centre,0,0,0,1300000,Tanger,DH,2,3,2,Bon état,99
244,Appartement de 177m² en vente complexe Assalam,Castilla,0,0,0,1593000,Tanger,DH,3,4,2,Nouveau,177
245,Appartement de 175m² en vente complexe Assalam,Castilla,0,0,0,1575000,Tanger,DH,3,4,2,Nouveau,175
246,Appartements de luxe avec finition moderne à malabata,Malabata,0,0,0,1493500,Tanger,DH,2,3,2,Nouveau,103
247,Belle appartement de 103m² en Vente à Tanja balia,Tanja Balia,0,0,0,1050000,Tanger,DH,2,3,2,Nouveau,103
248,Appartement de 133m² en Vente à place mozart,Mozart,0,0,0,1650000,Tanger,DH,3,3,2,Bon état,133
249,Appartement de 180m² en vente complexe Assalam,Castilla,0,0,0,1620000,Tanger,DH,3,4,2,Nouveau,180
250,Appartement de 112m² en vente Ali Building,De La,0,0,0,1680000,Tanger,DH,2,3,1,Nouveau,112
251,Vente d'un bel appartement à Administratif. 3 chambres. Antenne parabolique et Porte blindée.,Administratif,0,0,0,13300,Tanger,DH,3,4,2,Nouveau,97
252,Magnifique appartement avec vue sur le port de plaisance de Tanger,Centre,1,0,0,2180000,Tanger,DH,2,4,2,Bon état,130
253,Appartement Vide à La Vente Iberia Tanger,Iberie,0,0,1,2850000,Tanger,DH,3,4,2,Bon état,190
254,Appartement proche de la mer,De La,0,0,0,1665000,Tanger,DH,3,4,3,Bon état,111
255,Appartement vue sur mer à Malabata,Malabata,0,0,0,2600000,Tanger,DH,2,3,2,Bon état,89
256,Appartement a vendre Résidence Cap Tingis. M'nar,Manar,1,0,0,2300000,Tanger,DH,2,3,2,Bon état,126
257,Appartement 80m à Moujahidine,Moujahidine,0,0,0,680000,Tanger,DH,3,3,1,Bon état,80
258,Appartement avec Terrasse à Vendre Boulevard Tange,Centre,0,0,0,2900000,Tanger,DH,3,4,2,Bon état,215
259,Bel appart a vendre 135 m2 a cote de pizza hut,De La,0,0,0,1675000,Tanger,DH,3,4,1,Bon état,134
260,Appartement haut standing la Plage Tanger,De La,0,0,0,2720000,Tanger,DH,3,2,2,Bon état,160
261,Appartement haut standing à vendre à IBERIA,Iberie,0,0,0,4200000,Tanger,DH,4,5,3,Nouveau,200
262,"Appartement 103m², haut standing Castilla",Castilla,0,0,0,1050500,Tanger,DH,2,4,2,Bon état,103
263,Appartement lumineux à MOZART,Mozart,1,0,0,1600000,Tanger,DH,2,3,2,Bon état,107
264,Appartement à vendre en face de Marina,De La,0,0,0,2300000,Tanger,DH,3,5,2,Bon état,191
265,Appartement à vendre,Iberie,0,0,0,1600000,Tanger,DH,2,4,2,Bon état,110
266,Appartement à vendre,Branes 2,0,0,0,1300000,Tanger,DH,2,3,2,Bon état,90
267,Appartement 4 chambres au place des nations,Centre,0,0,0,1670000,Tanger,DH,4,6,3,Bon état,167
268,Bel appartement nickel au Bd Mly Youssef,Centre,0,0,0,1438500,Tanger,DH,3,5,2,Bon état,137
269,Appartement neuf avec des baies vitrées,Centre,0,0,0,1630000,Tanger,DH,3,5,2,Nouveau,101
270,Appartement 4 chambres haut stand neuf,Administratif,0,0,0,2158000,Tanger,DH,4,6,2,Nouveau,166
271,Bel appartement à 2 pas de Marjane route de Rabat,Marjane,0,0,0,690000,Tanger,DH,2,4,1,Bon état,73
272,Appartement neuf au Bd Mohamed 5,Centre,0,0,0,1474000,Tanger,DH,3,5,2,Nouveau,134
273,Appartement de luxe avec terrasse vue dégagée,Moujahidine,0,0,0,3000000,Tanger,DH,4,5,3,Bon état,257
274,"Appartement 123m², vue dégagée",Administratif,0,0,0,1350000,Tanger,DH,3,4,2,Bon état,123
275,Grand appartement au prix interessant,Centre,0,0,0,1250000,Tanger,DH,3,5,2,Bon état,129
276,Grand appartement à iberia vue dégagée,Iberie,0,0,0,2625000,Tanger,DH,3,5,3,Bon état,175
277,Appartement avec terrasse à IBERIA,Iberie,0,0,0,4300000,Tanger,DH,3,6,3,Bon état,259
278,Appartement luxueux avec terrasse vue sur mer,De La,0,0,0,4200000,Tanger,DH,3,4,3,Bon état,217
279,Magnifique appartement meublé à vendre à tanger malabata,Tanger City,0,0,0,720000,Tanger,DH,1,2,1,Bon état,55
280,Appartement à tanger balia,Tanja Balia,0,0,0,1100000,Tanger,DH,3,4,2,Nouveau,82
281,Appartement neuf à vendre,Du Golf,0,0,0,950000,Tanger,DH,3,7,2,Nouveau,95
282,Appartement de 93m² en vente Ali Building,De La,0,0,0,1534500,Tanger,DH,3,4,2,Nouveau,93
283,Résidence Malabata Pearl,Malabata,0,0,0,1730000,Tanger,DH,3,5,2,Nouveau,108
284,Appartement neuf en vente,Tanger City,0,0,0,1335000,Tanger,DH,2,3,2,Nouveau,79
285,Appartement a vendre,Mesnana,0,0,0,450000,Tanger,DH,2,5,1,Nouveau,56
286,Spacieux appartement en vente au centre ville,Administratif,0,0,0,1090000,Tanger,DH,3,3,1,Bon état,153
287,Appartement à la vente,Malabata,0,1,0,2900000,Tanger,DH,2,4,1,Bon état,125
288,Appt front mer a vendre,De La,0,0,0,6500000,Tanger,DH,3,4,2,Nouveau,150
289,Appartement a vendre tanger vue mer surface 156 m,De La,0,0,0,2500000,Tanger,DH,3,4,2,Nouveau,156
290,Vente appartement tanger city center,Centre,0,0,0,1575000,Tanger,DH,2,3,2,Nouveau,75
291,Appartement à l'achat à gueznaya surface 115m²,Gourziana,0,0,0,713000,Tanger,DH,2,3,2,Nouveau,115
292,Appartement duplex,Mozart,0,0,0,1500000,Tanger,DH,2,3,2,Nouveau,100
293,Appartements et duplex en vente sur Tanger,Tanja Balia,0,0,0,649800,Tanger,DH,1,2,1,Nouveau,58
294,Appartement A Vendre Vue Sur Mer – Tanger,Centre,0,0,0,1300000,Tanger,DH,1,3,2,Bon état,90
295,Appartement avec Terrasse à Vendre Malabata Tanger,Malabata,0,0,0,2700000,Tanger,DH,2,2,2,Bon état,148
296,Appartement Vide à La Vente Centre Ville Tange,Centre,0,0,1,1080000,Tanger,DH,3,4,1,Bon état,86
297,Bel appartement à vendre à Boukhalef. 1 belle chambre. Sécurisé 24/24.,Boukhalef,1,0,0,5700000,Tanger,DH,1,1,1,Bon état,45
298,Luxe appartement de 70m² neuf a malabata,Sania,0,0,0,1120000,Tanger,DH,2,3,1,Nouveau,70
299,Luxe appartement de 108m² neuf a malabata,Sania,0,0,0,1650000,Tanger,DH,3,4,2,Nouveau,108
300,Appartement à vendre à malabata tanger,Tanger City,0,0,0,1650000,Tanger,DH,3,5,2,Bon état,165
301,Bel appartement zone castilla,Castilla,0,0,0,1864000,Tanger,DH,4,7,2,Bon état,233
302,Appartement propre 104m,Jirrari,1,0,0,740000,Tanger,DH,3,3,2,Bon état,104
303,Bel appartement à Aswak salam. 2 chambres et salon. Balcon buanderie DÉCLARATION TOTALE,Marjane,0,0,0,650000,Tanger,DH,2,3,1,Nouveau,82
304,Les jardins de Mesnana golf tanger,Du Golf,0,0,0,550000,Tanger,DH,2,4,2,Nouveau,61
305,Vistalia Tanja Balia a Tanger,Centre,0,0,0,408000,Tanger,DH,2,2,2,Nouveau,52
306,Résidence Bahja rapport qualité a Tanger,De La,0,0,0,397300,Tanger,DH,3,3,1,Nouveau,58
307,Appartement en vendre a Tanger,Cap Spartel,0,0,0,1600000,Tanger,DH,3,5,3,Nouveau,106
308,"Vend appartement vue sur mer 1ère ligne en face de la Marina. 3 chambres agréables. Salon traditionnel marocain, résidence sécurisée",Centre,0,0,0,1800000,Tanger,DH,3,4,1,Bon état,115
309,Quartier PLAYA LAQP 406,De La,0,0,0,8000,Tanger,DH,2,3,1,Bon état,134
310,"Appartement de 62m² en vente, Résidence Riad Zalga",Ahlane,0,0,0,530000,Tanger,DH,2,3,1,Nouveau,67
311,Appartement a vendre residence de prestige,Du Golf,0,0,0,5400000,Tanger,DH,4,6,3,Nouveau,244
312,Retrait en vente à El Haj Kadoor,Branes 2,0,0,0,1040000,Tanger,DH,3,4,1,Bon état,160
313,Appartement à Kawasem pour la vente,Mesnana,0,0,0,480000,Tanger,DH,2,3,1,Bon état,60
314,Quartier Marchan VAQM 397,Marchan,0,0,0,945000,Tanger,DH,1,1,1,Nouveau,98
315,Appartement non meuble en vente a malabata,Tanger City,0,0,0,998000,Tanger,DH,2,3,1,Bon état,83
316,Appartement à vendre Iberia 3 chambres,Iberie,0,0,0,2560000,Tanger,DH,3,4,2,Bon état,160
317,Magnifique appartement complexe touristique,Centre,0,0,0,2500000,Tanger,DH,3,4,2,À rénover,120
318,Appartement a vendre quartier de la plage,De La,0,0,0,1579500,Tanger,DH,3,4,1,Nouveau,117
319,Vend appartement à Tanja Balia. 3 grandes pièces.,Tanja Balia,0,0,0,870000,Tanger,DH,2,3,2,Nouveau,103
320,Appartements neufs 1 et 2 chambres à Tanger,Tanja Balia,0,0,0,643800,Tanger,DH,2,3,1,Nouveau,74
321,Luxueux appart F4 neuf 190m2 en vente,Sania,0,0,0,3850000,Tanger,DH,3,4,3,Nouveau,190
322,Appartement à La Vente Branes Tanger,Marjane,1,0,0,700000,Tanger,DH,2,3,1,Bon état,82
323,Appartement à La Vente Branes Tanger,Marjane,1,0,0,880000,Tanger,DH,2,3,1,Bon état,84
324,Magnifique appartement à vendre à route de rabat,Castilla,0,0,0,1090000,Tanger,DH,2,4,2,Bon état,104
325,Vente d'un bel appartement à De La Plage. Surface de 80 m². Terrasse et ascenseur,De La,0,0,0,960000,Tanger,DH,2,3,1,Nouveau,80
326,Appartements neufs à côté city club route de Rabat,Marjane,1,0,0,410000,Tanger,DH,2,3,1,Nouveau,58
327,Appartement meublé neuf à côté city club route de Rabat immeuble 12 appartements,Marjane,0,0,0,470000,Tanger,DH,2,3,1,Nouveau,70
328,Appartements neufs tanja balia lotissement dans la rue balcon/cuisine èquipèe,Tanja Balia,0,0,0,450000,Tanger,DH,2,3,1,Nouveau,61
329,Appartement à l'achat à gueznaya surface 100m,Gourziana,0,0,0,600000,Tanger,DH,2,3,2,Nouveau,100
330,Quartier Administratif VAQC 415,Administratif,0,0,0,1710000,Tanger,DH,3,1,2,Nouveau,180
331,Appartement tout près de l'école berchet,Administratif,0,0,0,1215000,Tanger,DH,2,3,1,Bon état,90
332,Quartier Administratif VAQA 413,Administratif,0,0,0,2380000,Tanger,DH,3,5,1,Bon état,170
333,Superbe appartement à vendre à Zemmouri. 2 chambres agréables,Zemmouri,0,0,0,500000,Tanger,DH,2,3,1,Nouveau,91
334,Bel appartement,Zemmouri,0,0,0,1320000,Tanger,DH,3,4,2,Bon état,150
335,Appartement F5à vendre au centre ville de Tanger,Administratif,0,0,0,1300000,Tanger,DH,4,5,2,Bon état,160
336,Appartement Vide à La Vente Route de Rabat Tanger,Marjane,1,0,0,715000,Tanger,DH,2,3,1,Bon état,95
337,Appartement Vide à La Vente Nejma Tanger,Centre,1,0,0,1940000,Tanger,DH,2,2,1,Bon état,114
338,Appartement Ahlen,Ahlane,0,0,0,800000,Tanger,DH,2,3,1,Bon état,70
339,Vend appartement à Aharrarine. Surface totale 75 m². Jardin et ascenseur.,Aharrarine,0,0,0,460000,Tanger,DH,2,3,1,Bon état,75
340,Appart moyen standing 83 m2 a vendre,Route Nationale,0,0,0,750000,Tanger,DH,2,4,1,Bon état,83
341,"Appartement de 66m² en vente, Résidence Riad Zalga",Ahlane,0,0,0,580000,Tanger,DH,2,3,1,Nouveau,69
342,Appartement 101m² au quartier administratif,Administratif,0,0,0,950000,Tanger,DH,2,3,2,Bon état,101
343,Appartement neuf dans une résidence avec piscine,Tanja Balia,0,0,0,840000,Tanger,DH,2,3,2,Nouveau,76
344,Appartement Vide à La Vente Centre Ville Tanger,Centre,0,0,0,1240000,Tanger,DH,2,2,2,Bon état,99
345,Appartement a vendre,Marjane,0,0,0,600000,Tanger,DH,3,6,1,Bon état,78
346,Aprt 85m²/ 3 ch Résid Meskellil proche Marjane Rt Rabat,Ahlane,0,0,0,660000,Tanger,DH,3,4,1,Bon état,85
347,Appartement avec une vue panoramique,Centre,0,0,0,15900000,Tanger,DH,3,4,2,Nouveau,113
348,Titre disponible,Hay Hassani,0,0,0,600000,Tanger,DH,3,4,1,Bon état,73
349,Appartement à vendre,Mesnana,0,0,0,600000,Tanger,DH,3,4,1,Bon état,82
350,Appartement Vide à La Vente Route de Rabat Tanger,Marjane,0,0,0,1430000,Tanger,DH,3,4,1,Bon état,106
351,Appartement à La Vente Route de rabat Tanger,Marjane,0,0,1,815000,Tanger,DH,2,3,1,Bon état,75
352,Appartement meublé coeur centre ville,Centre,0,0,0,1100000,Tanger,DH,3,6,2,Bon état,105
353,Appart Bayti Sakane 61 m2 rénové et ensoleillé,Hay Hassani,0,0,0,450000,Tanger,DH,2,3,1,Nouveau,61
354,"Superbe appartement à vendre à Mesnana. 3 belles chambres. Salon typique marocain, résidence sécurisée",Mesnana,0,0,0,1550000,Tanger,DH,3,5,2,Bon état,105
355,Appartement Meublé à Vendre – Vue mer – Tanger,Centre,0,0,0,1750000,Tanger,DH,2,4,2,Bon état,100
356,Appartement Vide à La Vente Route Rabat Tanger,Marjane,0,0,1,1030000,Tanger,DH,3,4,2,Bon état,137
357,Appartement en vente à Les Rosiers. 2 belles chambres. Sécurisé 24/24,Les Rosiers,1,0,0,270000,Tanger,DH,2,3,1,À rénover,50
358,Branes 1 - Appartement  à vendre - 97m2,Branes,0,0,0,850000,Tanger,DH,2,3,1,Bon état,97
